KOActivity_1,KOActivity_2,KOActivity_3,Number of checks to be executed according to the suggestion,Minimum Check Number (Ideal Processing),Check Overprocessing
10432,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10436,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10437,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10442,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10447,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10449,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10450,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10460,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10474,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10477,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10478,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10485,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10486,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10493,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10496,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10503,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10505,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10506,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10515,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10516,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10517,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10519,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10527,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10531,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10532,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10535,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10544,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10558,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10560,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10561,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10563,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10564,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10569,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10573,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10574,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10576,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10587,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10595,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10605,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10617,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10619,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10622,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10623,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10628,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10643,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10645,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10646,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10647,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10652,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10669,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10670,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10675,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10685,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10691,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10693,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10695,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10696,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10700,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10714,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10715,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10720,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10722,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10723,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10736,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10741,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10743,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10745,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10748,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10762,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10768,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10771,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10776,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10777,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10782,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10800,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10801,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10806,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10810,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10816,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10824,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10825,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10828,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10831,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10835,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10837,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10839,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10840,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10842,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10845,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10848,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10849,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10851,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10862,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10864,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10866,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10867,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10869,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10871,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10872,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10896,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
10899,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10900,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10902,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
10909,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10911,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
10917,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10921,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10928,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10935,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10945,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10947,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10949,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10952,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10959,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10963,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10964,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10972,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
10985,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10988,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
10991,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
10999,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11000,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11001,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11005,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
11012,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11016,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11022,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11024,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11028,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11034,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11040,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11045,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11050,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11068,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11075,CreditDecision,PostFundingCancellation,IdCancellation,3,1,2
11078,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11079,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11084,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11091,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11103,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11104,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11108,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
11110,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11114,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11118,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11126,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11151,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11153,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11157,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11162,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11167,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11168,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11169,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11171,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11181,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11183,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11186,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11192,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11195,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11206,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11207,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11218,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11229,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11240,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11246,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11250,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11269,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11284,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11291,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11292,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11296,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11304,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11318,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11327,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11335,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11350,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11353,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11355,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11358,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11372,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11376,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11377,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11379,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11380,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11385,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11386,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11398,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11401,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11403,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11404,CreditDecision,IdCancellation,PostFundingCancellation,1,1,0
11408,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
11411,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11413,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11420,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11422,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11429,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11430,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11442,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11443,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11444,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11447,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11456,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11470,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11473,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11477,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11484,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11486,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11488,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11495,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11503,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11507,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11520,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11527,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11531,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11537,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11541,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11542,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11546,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11548,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11554,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11558,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11559,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11561,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11571,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11573,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11575,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11576,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11577,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11580,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11590,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
11596,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11602,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11612,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11617,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11621,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11622,CreditDecision,PostFundingCancellation,IdCancellation,3,3,0
11629,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11639,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11643,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11656,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11659,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11667,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11670,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11686,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11687,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11690,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11691,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11692,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11697,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11703,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11707,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11727,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11729,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11735,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11736,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11740,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11743,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11750,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11755,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11762,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11776,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11782,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11829,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11830,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11889,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11895,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
11901,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
11942,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
11980,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
12017,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12030,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12033,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12038,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12051,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12065,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12074,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12092,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12093,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12094,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12106,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12116,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12128,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
12132,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12136,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12138,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12141,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12159,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12170,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12186,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12213,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12214,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12222,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12238,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12250,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12263,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12286,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12296,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12301,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12305,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12311,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12312,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12320,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12325,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12328,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12330,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12331,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12339,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12343,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12348,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12354,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12356,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12362,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12372,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12377,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12378,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12382,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12384,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12385,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12386,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12387,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12391,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12399,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12402,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12412,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12413,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12420,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12422,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12430,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12434,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12439,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12442,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12443,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12444,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12453,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12457,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12460,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12461,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12473,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12475,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12478,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12480,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12487,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12489,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12499,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12500,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12502,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12509,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12510,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
12511,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12529,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12539,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12540,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12546,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12547,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12550,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
12552,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12561,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12562,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12573,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
12584,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12592,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12595,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
12596,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12607,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12615,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12620,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12621,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
12623,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12626,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12627,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12628,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
12636,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12640,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12641,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12642,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12652,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12660,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12669,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12671,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12675,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
12679,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12688,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12696,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12702,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12708,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
12709,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12710,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12716,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
12719,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
12721,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12724,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12729,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12750,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12754,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12755,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12757,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12765,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12772,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12773,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12777,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12779,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
12780,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12789,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12793,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12803,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12804,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12810,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12822,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12830,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12846,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12849,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12853,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12858,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12860,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12864,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12867,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12877,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12879,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12881,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
12883,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
12888,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
12895,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
