Case ID,Activity,Resource,Complete Timestamp,Variant,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-4279,T06 Determine necessity of stop advice,Resource12,2010/11/11 15:13:35.775,Variant 2,Internet,General,,Resource12,task-1345,complete,Group 1
case-4279,T10 Determine necessity to stop indication,Resource12,2010/11/11 15:14:13.332,Variant 2,Internet,General,,Resource12,task-1377,complete,Group 1
case-4279,T02 Check confirmation of receipt,Resource12,2010/11/11 15:32:50.573,Variant 2,Internet,General,,Resource12,task-1344,complete,EMPTY
case-4279,T04 Determine confirmation of receipt,Resource12,2010/11/11 15:33:20.077,Variant 2,Internet,General,,Resource12,task-1394,complete,Group 3
case-4279,T05 Print and send confirmation of receipt,Resource12,2010/11/11 15:33:31.895,Variant 2,Internet,General,,Resource12,task-1395,complete,Group 2
case-4279,End,End,2010/11/11 15:33:31.895,Variant 2,End,End,End,End,End,End,End
case-4317,Confirmation of receipt,Resource08,2010/11/23 13:58:39.850,Variant 2,Internet,General,,Resource08,task-1426,complete,Group 1
case-4317,T06 Determine necessity of stop advice,Resource08,2010/11/23 14:02:43.993,Variant 2,Internet,General,,Resource08,task-1891,complete,Group 1
case-4317,T10 Determine necessity to stop indication,Resource08,2010/11/23 14:03:09.100,Variant 2,Internet,General,,Resource08,task-1892,complete,Group 1
case-4317,T02 Check confirmation of receipt,Resource24,2010/11/26 09:57:14.441,Variant 2,Internet,General,,Resource08,task-1890,complete,EMPTY
case-4317,T04 Determine confirmation of receipt,Resource04,2010/11/26 11:09:50.090,Variant 2,Internet,General,,Resource08,task-2102,complete,EMPTY
case-4317,T05 Print and send confirmation of receipt,admin1,2010/11/30 11:02:41.089,Variant 2,Internet,General,,Resource08,task-2130,complete,Group 2
case-4317,End,End,2010/11/30 11:02:41.089,Variant 2,End,End,End,End,End,End,End
case-4319,Confirmation of receipt,Resource11,2010/11/30 14:56:43.347,Variant 6,Internet,General,,Resource11,task-1429,complete,EMPTY
case-4319,T02 Check confirmation of receipt,Resource11,2010/11/30 14:57:29.374,Variant 6,Internet,General,,Resource11,task-2425,complete,Group 4
case-4319,T06 Determine necessity of stop advice,Resource11,2010/11/30 14:58:42.811,Variant 6,Internet,General,,Resource11,task-2426,complete,Group 1
case-4319,T04 Determine confirmation of receipt,Resource11,2010/11/30 14:59:06.922,Variant 6,Internet,General,,Resource11,task-2427,complete,EMPTY
case-4319,T05 Print and send confirmation of receipt,Resource11,2010/11/30 15:00:38.275,Variant 6,Internet,General,,Resource11,task-2431,complete,EMPTY
case-4319,T10 Determine necessity to stop indication,Resource11,2010/11/30 15:01:04.464,Variant 6,Internet,General,,Resource11,task-2429,complete,Group 1
case-4319,End,End,2010/11/30 15:01:04.464,Variant 6,End,End,End,End,End,End,End
case-4328,Confirmation of receipt,Resource36,2011/03/01 16:45:50.426,Variant 6,Internet,General,,Resource51,task-1450,complete,EMPTY
case-4328,T02 Check confirmation of receipt,Resource36,2011/03/01 16:50:01.543,Variant 6,Internet,General,,Resource51,task-14763,complete,Group 4
case-4328,T06 Determine necessity of stop advice,Resource36,2011/03/01 16:50:53.503,Variant 6,Internet,General,,Resource51,task-14764,complete,Group 1
case-4328,T04 Determine confirmation of receipt,Resource36,2011/03/01 16:52:02.024,Variant 6,Internet,General,,Resource51,task-14765,complete,Group 3
case-4328,T05 Print and send confirmation of receipt,Resource36,2011/03/01 16:53:25.806,Variant 6,Internet,General,,Resource51,task-14767,complete,Group 2
case-4328,T10 Determine necessity to stop indication,Resource36,2011/03/01 16:55:04.214,Variant 6,Internet,General,,Resource51,task-14766,complete,Group 1
case-4328,End,End,2011/03/01 16:55:04.214,Variant 6,End,End,End,End,End,End,End
case-4344,Confirmation of receipt,Resource04,2010/11/23 10:16:35.832,Variant 1,Internet,General,,Resource21,task-1466,complete,Group 1
case-4344,T02 Check confirmation of receipt,Resource04,2010/11/23 10:18:53.915,Variant 1,Internet,General,,Resource21,task-1823,complete,Group 4
case-4344,T04 Determine confirmation of receipt,Resource04,2010/11/23 10:19:10.039,Variant 1,Internet,General,,Resource21,task-1825,complete,Group 3
case-4344,T05 Print and send confirmation of receipt,Resource04,2010/11/23 10:24:11.612,Variant 1,Internet,General,,Resource21,task-1826,complete,Group 2
case-4344,T06 Determine necessity of stop advice,Resource04,2010/11/23 10:25:26.571,Variant 1,Internet,General,,Resource21,task-1824,complete,Group 1
case-4344,T10 Determine necessity to stop indication,Resource04,2010/11/23 10:27:57.790,Variant 1,Internet,General,,Resource21,task-1827,complete,Group 1
case-4344,End,End,2010/11/23 10:27:57.790,Variant 1,End,End,End,End,End,End,End
case-4345,Confirmation of receipt,Resource21,2010/11/23 16:59:06.988,Variant 1,Internet,General,,Resource21,task-1467,complete,Group 1
case-4345,T02 Check confirmation of receipt,Resource21,2010/11/23 17:08:15.596,Variant 1,Internet,General,,Resource21,task-1941,complete,Group 4
case-4345,T04 Determine confirmation of receipt,Resource10,2010/11/25 11:16:49.103,Variant 1,Internet,General,,Resource21,task-1947,complete,Group 3
case-4345,T05 Print and send confirmation of receipt,admin1,2010/11/30 10:46:14.548,Variant 1,Internet,General,,Resource21,task-2040,complete,Group 2
case-4345,T06 Determine necessity of stop advice,Resource04,2010/11/30 14:58:39.431,Variant 1,Internet,General,,Resource21,task-1942,complete,Group 1
case-4345,T10 Determine necessity to stop indication,Resource04,2010/11/30 14:58:56.702,Variant 1,Internet,General,,Resource21,task-2428,complete,Group 1
case-4345,End,End,2010/11/30 14:58:56.702,Variant 1,End,End,End,End,End,End,End
case-4346,Confirmation of receipt,Resource21,2010/11/25 10:01:06.997,Variant 23,Internet,General,,Resource21,task-1468,complete,Group 1
case-4346,T02 Check confirmation of receipt,Resource21,2010/11/25 10:09:53.721,Variant 23,Internet,General,,Resource21,task-2020,complete,EMPTY
case-4346,T04 Determine confirmation of receipt,Resource21,2010/11/25 11:24:54.306,Variant 23,Internet,General,,Resource21,task-2032,complete,Group 3
case-4346,T05 Print and send confirmation of receipt,admin1,2010/11/30 10:32:31.628,Variant 23,Internet,General,,Resource21,task-2041,complete,Group 2
case-4346,T07-1 Draft intern advice aspect 1,Resource21,2011/04/04 14:51:48.317,Variant 23,Internet,General,,Resource21,task-18944,complete,Group 13
case-4346,T06 Determine necessity of stop advice,Resource21,2011/04/04 14:52:20.251,Variant 23,Internet,General,,Resource21,task-18945,complete,Group 1
case-4346,T10 Determine necessity to stop indication,Resource21,2011/04/04 14:54:21.379,Variant 23,Internet,General,,Resource21,task-18946,complete,Group 1
case-4346,End,End,2011/04/04 14:54:21.379,Variant 23,End,End,End,End,End,End,End
case-4380,Confirmation of receipt,Resource15,2010/11/23 13:25:37.551,Variant 4,Internet,General,,Resource15,task-1510,complete,Group 1
case-4380,T02 Check confirmation of receipt,Resource24,2010/11/26 09:58:13.474,Variant 4,Internet,General,,Resource15,task-1884,complete,EMPTY
case-4380,T04 Determine confirmation of receipt,Resource15,2010/11/30 09:39:05.866,Variant 4,Internet,General,,Resource15,task-2104,complete,Group 3
case-4380,T06 Determine necessity of stop advice,Resource15,2010/11/30 09:40:11.604,Variant 4,Internet,General,,Resource15,task-1885,complete,Group 1
case-4380,T10 Determine necessity to stop indication,Resource15,2010/11/30 09:40:35.638,Variant 4,Internet,General,,Resource15,task-2305,complete,Group 1
case-4380,T05 Print and send confirmation of receipt,admin1,2010/12/06 16:16:35.712,Variant 4,Internet,General,,Resource15,task-2304,complete,Group 2
case-4380,End,End,2010/12/06 16:16:35.712,Variant 4,End,End,End,End,End,End,End
case-4384,Confirmation of receipt,Resource11,2010/12/13 12:46:32.331,Variant 2,Internet,General,,Resource01,task-1521,complete,EMPTY
case-4384,T06 Determine necessity of stop advice,Resource11,2010/12/13 12:54:01.983,Variant 2,Internet,General,,Resource01,task-3855,complete,Group 1
case-4384,T10 Determine necessity to stop indication,Resource11,2010/12/13 12:54:37.414,Variant 2,Internet,General,,Resource01,task-3856,complete,Group 1
case-4384,T02 Check confirmation of receipt,Resource11,2010/12/13 12:55:48.228,Variant 2,Internet,General,,Resource01,task-3854,complete,EMPTY
case-4384,T04 Determine confirmation of receipt,Resource11,2010/12/13 12:56:03.074,Variant 2,Internet,General,,Resource01,task-3860,complete,Group 3
case-4384,T05 Print and send confirmation of receipt,Resource11,2010/12/13 12:56:47.362,Variant 2,Internet,General,,Resource01,task-3861,complete,EMPTY
case-4384,End,End,2010/12/13 12:56:47.362,Variant 2,End,End,End,End,End,End,End
case-4388,Confirmation of receipt,Resource04,2010/11/19 11:27:47.282,Variant 2,Internet,General,,Resource04,task-1535,complete,Group 1
case-4388,T06 Determine necessity of stop advice,Resource04,2010/11/19 11:30:03.931,Variant 2,Internet,General,,Resource04,task-1695,complete,Group 1
case-4388,T10 Determine necessity to stop indication,Resource04,2010/11/19 11:30:25.507,Variant 2,Internet,General,,Resource04,task-1696,complete,Group 1
case-4388,T02 Check confirmation of receipt,Resource02,2010/11/19 11:33:50.591,Variant 2,Internet,General,,Resource04,task-1694,complete,EMPTY
case-4388,T04 Determine confirmation of receipt,Resource04,2010/11/23 13:48:10.035,Variant 2,Internet,General,,Resource04,task-1709,complete,Group 3
case-4388,T05 Print and send confirmation of receipt,Resource04,2010/11/23 13:48:54.429,Variant 2,Internet,General,,Resource04,task-1889,complete,Group 2
case-4388,End,End,2010/11/23 13:48:54.429,Variant 2,End,End,End,End,End,End,End
case-4395,Confirmation of receipt,Resource11,2010/12/13 13:39:01.149,Variant 5,Internet,General,,Resource01,task-1552,complete,EMPTY
case-4395,T06 Determine necessity of stop advice,Resource11,2010/12/13 13:39:41.069,Variant 5,Internet,General,,Resource01,task-3896,complete,Group 1
case-4395,T02 Check confirmation of receipt,Resource11,2010/12/13 13:51:14.991,Variant 5,Internet,General,,Resource01,task-3895,complete,EMPTY
case-4395,T04 Determine confirmation of receipt,Resource11,2010/12/13 13:51:57.779,Variant 5,Internet,General,,Resource01,task-3899,complete,EMPTY
case-4395,T05 Print and send confirmation of receipt,Resource11,2010/12/13 13:52:39.872,Variant 5,Internet,General,,Resource01,task-3902,complete,EMPTY
case-4395,T10 Determine necessity to stop indication,Resource11,2010/12/13 13:53:15.462,Variant 5,Internet,General,,Resource01,task-3897,complete,Group 1
case-4395,End,End,2010/12/13 13:53:15.462,Variant 5,End,End,End,End,End,End,End
case-4396,Confirmation of receipt,Resource07,2010/11/25 17:35:43.970,Variant 2,Internet,General,,Resource07,task-1553,complete,Group 1
case-4396,T06 Determine necessity of stop advice,Resource07,2010/11/25 17:35:59.878,Variant 2,Internet,General,,Resource07,task-2079,complete,Group 1
case-4396,T10 Determine necessity to stop indication,Resource07,2010/11/25 17:36:17.475,Variant 2,Internet,General,,Resource07,task-2080,complete,Group 1
case-4396,T02 Check confirmation of receipt,Resource32,2010/11/25 18:36:52.317,Variant 2,Internet,General,,Resource07,task-2078,complete,Group 4
case-4396,T04 Determine confirmation of receipt,Resource07,2010/11/30 13:01:22.599,Variant 2,Internet,General,,Resource07,task-2092,complete,Group 3
case-4396,T05 Print and send confirmation of receipt,admin1,2010/12/06 16:18:46.819,Variant 2,Internet,General,,Resource07,task-2394,complete,Group 2
case-4396,End,End,2010/12/06 16:18:46.819,Variant 2,End,End,End,End,End,End,End
case-4397,Confirmation of receipt,Resource11,2010/12/15 09:38:28.119,Variant 2,Internet,Customer contact,,Resource11,task-1554,complete,EMPTY
case-4397,T06 Determine necessity of stop advice,Resource11,2010/12/15 09:42:06.640,Variant 2,Internet,Customer contact,,Resource11,task-4315,complete,Group 1
case-4397,T10 Determine necessity to stop indication,Resource11,2010/12/15 09:44:09.988,Variant 2,Internet,Customer contact,,Resource11,task-4316,complete,Group 1
case-4397,T02 Check confirmation of receipt,Resource19,2010/12/15 09:58:06.213,Variant 2,Internet,Customer contact,,Resource11,task-4314,complete,EMPTY
case-4397,T04 Determine confirmation of receipt,Resource11,2010/12/15 10:08:19.661,Variant 2,Internet,Customer contact,,Resource11,task-4337,complete,EMPTY
case-4397,T05 Print and send confirmation of receipt,Resource11,2010/12/15 10:08:44.350,Variant 2,Internet,Customer contact,,Resource11,task-4350,complete,Group 2
case-4397,End,End,2010/12/15 10:08:44.350,Variant 2,End,End,End,End,End,End,End
case-4401,Confirmation of receipt,Resource19,2010/12/09 12:32:24.762,Variant 4,Internet,Customer contact,,Resource11,task-1558,complete,EMPTY
case-4401,T02 Check confirmation of receipt,Resource11,2010/12/09 12:41:54.519,Variant 4,Internet,Customer contact,,Resource11,task-3449,complete,Group 4
case-4401,T04 Determine confirmation of receipt,Resource11,2010/12/09 12:44:13.624,Variant 4,Internet,Customer contact,,Resource11,task-3456,complete,Group 3
case-4401,T06 Determine necessity of stop advice,Resource11,2010/12/09 12:44:31.005,Variant 4,Internet,Customer contact,,Resource11,task-3450,complete,EMPTY
case-4401,T10 Determine necessity to stop indication,Resource11,2010/12/09 12:44:55.698,Variant 4,Internet,Customer contact,,Resource11,task-3458,complete,Group 1
case-4401,T05 Print and send confirmation of receipt,Resource07,2010/12/10 11:05:41.449,Variant 4,Internet,Customer contact,,Resource11,task-3457,complete,Group 2
case-4401,End,End,2010/12/10 11:05:41.449,Variant 4,End,End,End,End,End,End,End
case-4403,Confirmation of receipt,Resource07,2010/12/13 11:28:58.696,Variant 1,Internet,General,,Resource11,task-1560,complete,EMPTY
case-4403,T02 Check confirmation of receipt,Resource07,2010/12/13 11:29:20.204,Variant 1,Internet,General,,Resource11,task-3791,complete,Group 4
case-4403,T04 Determine confirmation of receipt,Resource07,2010/12/13 11:29:44.324,Variant 1,Internet,General,,Resource11,task-3793,complete,Group 3
case-4403,T05 Print and send confirmation of receipt,Resource07,2010/12/13 11:30:05.509,Variant 1,Internet,General,,Resource11,task-3794,complete,Group 2
case-4403,T06 Determine necessity of stop advice,Resource07,2010/12/13 11:30:16.612,Variant 1,Internet,General,,Resource11,task-3792,complete,Group 1
case-4403,T10 Determine necessity to stop indication,Resource07,2010/12/13 11:39:16.049,Variant 1,Internet,General,,Resource11,task-3795,complete,Group 1
case-4403,End,End,2010/12/13 11:39:16.049,Variant 1,End,End,End,End,End,End,End
case-4407,Confirmation of receipt,Resource07,2010/12/13 11:14:42.822,Variant 1,Internet,General,,Resource34,task-1583,complete,EMPTY
case-4407,T02 Check confirmation of receipt,Resource07,2010/12/13 11:15:06.626,Variant 1,Internet,General,,Resource34,task-3770,complete,Group 4
case-4407,T04 Determine confirmation of receipt,Resource07,2010/12/13 11:15:27.006,Variant 1,Internet,General,,Resource34,task-3772,complete,Group 3
case-4407,T05 Print and send confirmation of receipt,Resource07,2010/12/13 11:16:08.245,Variant 1,Internet,General,,Resource34,task-3774,complete,Group 2
case-4407,T06 Determine necessity of stop advice,Resource07,2010/12/13 11:16:22.877,Variant 1,Internet,General,,Resource34,task-3771,complete,Group 1
case-4407,T10 Determine necessity to stop indication,Resource07,2010/12/13 11:21:25.358,Variant 1,Internet,General,,Resource34,task-3775,complete,Group 1
case-4407,End,End,2010/12/13 11:21:25.358,Variant 1,End,End,End,End,End,End,End
case-4408,Confirmation of receipt,Resource11,2010/12/15 10:31:28.615,Variant 2,Internet,Customer contact,,Resource11,task-1589,complete,EMPTY
case-4408,T06 Determine necessity of stop advice,Resource11,2010/12/15 10:32:15.833,Variant 2,Internet,Customer contact,,Resource11,task-4365,complete,Group 1
case-4408,T10 Determine necessity to stop indication,Resource11,2010/12/15 10:34:41.886,Variant 2,Internet,Customer contact,,Resource11,task-4366,complete,Group 1
case-4408,T02 Check confirmation of receipt,Resource19,2010/12/15 12:23:35.595,Variant 2,Internet,Customer contact,,Resource11,task-4364,complete,EMPTY
case-4408,T04 Determine confirmation of receipt,Resource11,2010/12/15 16:02:22.927,Variant 2,Internet,Customer contact,,Resource11,task-4471,complete,EMPTY
case-4408,T05 Print and send confirmation of receipt,admin1,2010/12/17 11:09:53.180,Variant 2,Internet,Customer contact,,Resource11,task-4585,complete,Group 2
case-4408,End,End,2010/12/17 11:09:53.180,Variant 2,End,End,End,End,End,End,End
case-4410,Confirmation of receipt,Resource11,2010/12/13 13:03:26.710,Variant 1,Internet,General,,Resource11,task-1591,complete,EMPTY
case-4410,T02 Check confirmation of receipt,Resource11,2010/12/13 13:03:51.008,Variant 1,Internet,General,,Resource11,task-3864,complete,Group 4
case-4410,T04 Determine confirmation of receipt,Resource11,2010/12/13 13:04:12.053,Variant 1,Internet,General,,Resource11,task-3866,complete,Group 3
case-4410,T05 Print and send confirmation of receipt,Resource11,2010/12/13 13:04:49.579,Variant 1,Internet,General,,Resource11,task-3867,complete,EMPTY
case-4410,T06 Determine necessity of stop advice,Resource11,2010/12/13 13:05:04.400,Variant 1,Internet,General,,Resource11,task-3865,complete,Group 1
case-4410,T10 Determine necessity to stop indication,Resource11,2010/12/13 13:05:24.780,Variant 1,Internet,General,,Resource11,task-3868,complete,Group 1
case-4410,End,End,2010/12/13 13:05:24.780,Variant 1,End,End,End,End,End,End,End
case-4411,Confirmation of receipt,Resource15,2010/11/23 13:36:04.005,Variant 2,Internet,General,,Resource15,task-1599,complete,Group 1
case-4411,T06 Determine necessity of stop advice,Resource15,2010/11/24 12:41:40.604,Variant 2,Internet,General,,Resource15,task-1887,complete,Group 1
case-4411,T10 Determine necessity to stop indication,Resource15,2010/11/24 12:42:11.894,Variant 2,Internet,General,,Resource15,task-1976,complete,Group 1
case-4411,T02 Check confirmation of receipt,Resource24,2010/11/26 09:58:36.790,Variant 2,Internet,General,,Resource15,task-1886,complete,EMPTY
case-4411,T04 Determine confirmation of receipt,Resource15,2010/11/30 09:55:50.262,Variant 2,Internet,General,,Resource15,task-2105,complete,Group 3
case-4411,T05 Print and send confirmation of receipt,admin1,2010/12/06 16:17:13.976,Variant 2,Internet,General,,Resource15,task-2319,complete,Group 2
case-4411,End,End,2010/12/06 16:17:13.976,Variant 2,End,End,End,End,End,End,End
case-4413,Confirmation of receipt,Resource11,2010/12/15 09:00:28.887,Variant 2,Internet,General,,Resource11,task-1601,complete,EMPTY
case-4413,T06 Determine necessity of stop advice,Resource11,2010/12/15 09:04:02.850,Variant 2,Internet,General,,Resource11,task-4287,complete,Group 1
case-4413,T10 Determine necessity to stop indication,Resource11,2010/12/15 09:13:46.791,Variant 2,Internet,General,,Resource11,task-4288,complete,Group 1
case-4413,T02 Check confirmation of receipt,Resource19,2010/12/15 09:55:20.876,Variant 2,Internet,General,,Resource11,task-4286,complete,EMPTY
case-4413,T04 Determine confirmation of receipt,Resource19,2010/12/15 12:04:34.939,Variant 2,Internet,General,,Resource11,task-4329,complete,EMPTY
case-4413,T05 Print and send confirmation of receipt,admin1,2010/12/15 15:11:24.730,Variant 2,Internet,General,,Resource11,task-4437,complete,Group 2
case-4413,End,End,2010/12/15 15:11:24.730,Variant 2,End,End,End,End,End,End,End
case-4414,Confirmation of receipt,Resource04,2010/11/19 10:08:14.971,Variant 2,Internet,General,,Resource04,task-1602,complete,Group 1
case-4414,T06 Determine necessity of stop advice,Resource04,2010/11/19 10:12:32.973,Variant 2,Internet,General,,Resource04,task-1678,complete,Group 1
case-4414,T10 Determine necessity to stop indication,Resource04,2010/11/19 10:12:51.630,Variant 2,Internet,General,,Resource04,task-1679,complete,Group 1
case-4414,T02 Check confirmation of receipt,Resource14,2010/11/19 10:13:40.046,Variant 2,Internet,General,,Resource04,task-1677,complete,EMPTY
case-4414,T04 Determine confirmation of receipt,Resource04,2010/11/23 13:47:07.717,Variant 2,Internet,General,,Resource04,task-1684,complete,Group 3
case-4414,T05 Print and send confirmation of receipt,admin1,2010/11/30 10:25:07.358,Variant 2,Internet,General,,Resource04,task-1888,complete,Group 2
case-4414,End,End,2010/11/30 10:25:07.358,Variant 2,End,End,End,End,End,End,End
case-4437,Confirmation of receipt,Resource15,2010/12/08 15:03:15.964,Variant 1,Internet,General,,Resource15,task-1720,complete,EMPTY
case-4437,T02 Check confirmation of receipt,Resource15,2010/12/08 15:07:33.763,Variant 1,Internet,General,,Resource15,task-3350,complete,Group 4
case-4437,T04 Determine confirmation of receipt,Resource15,2010/12/08 15:07:44.692,Variant 1,Internet,General,,Resource15,task-3352,complete,Group 3
case-4437,T05 Print and send confirmation of receipt,admin1,2010/12/10 14:53:47.516,Variant 1,Internet,General,,Resource15,task-3353,complete,Group 2
case-4437,T06 Determine necessity of stop advice,Resource15,2010/12/24 11:10:47.806,Variant 1,Internet,General,,Resource15,task-3351,complete,Group 1
case-4437,T10 Determine necessity to stop indication,Resource15,2010/12/24 11:11:08.029,Variant 1,Internet,General,,Resource15,task-5587,complete,Group 1
case-4437,End,End,2010/12/24 11:11:08.029,Variant 1,End,End,End,End,End,End,End
case-4498,Confirmation of receipt,Resource01,2010/11/30 10:47:16.066,Variant 2,Internet,General,,Resource01,task-1879,complete,Group 1
case-4498,T06 Determine necessity of stop advice,Resource01,2010/11/30 10:57:06.659,Variant 2,Internet,General,,Resource01,task-2348,complete,Group 1
case-4498,T10 Determine necessity to stop indication,Resource01,2010/11/30 10:57:25.842,Variant 2,Internet,General,,Resource01,task-2350,complete,Group 1
case-4498,T02 Check confirmation of receipt,Resource19,2010/12/07 15:38:12.562,Variant 2,Internet,General,,Resource01,task-2347,complete,EMPTY
case-4498,T04 Determine confirmation of receipt,Resource10,2010/12/07 15:49:08.718,Variant 2,Internet,General,,Resource01,task-3129,complete,Group 3
case-4498,T05 Print and send confirmation of receipt,admin1,2010/12/08 10:35:45.376,Variant 2,Internet,General,,Resource01,task-3136,complete,Group 2
case-4498,End,End,2010/12/08 10:35:45.376,Variant 2,End,End,End,End,End,End,End
case-4500,Confirmation of receipt,Resource04,2010/11/24 17:02:24.377,Variant 4,Internet,General,,Resource04,task-1903,complete,Group 1
case-4500,T02 Check confirmation of receipt,Resource04,2010/11/24 17:02:37.600,Variant 4,Internet,General,,Resource04,task-1988,complete,Group 4
case-4500,T04 Determine confirmation of receipt,Resource04,2010/11/24 17:02:47.233,Variant 4,Internet,General,,Resource04,task-1990,complete,Group 3
case-4500,T06 Determine necessity of stop advice,Resource04,2010/11/24 17:02:59.904,Variant 4,Internet,General,,Resource04,task-1989,complete,Group 1
case-4500,T10 Determine necessity to stop indication,Resource04,2010/11/24 17:03:16.770,Variant 4,Internet,General,,Resource04,task-1992,complete,Group 1
case-4500,T05 Print and send confirmation of receipt,Resource04,2010/11/24 17:26:00.225,Variant 4,Internet,General,,Resource04,task-1991,complete,Group 2
case-4500,End,End,2010/11/24 17:26:00.225,Variant 4,End,End,End,End,End,End,End
case-4502,Confirmation of receipt,Resource11,2010/12/13 14:59:10.764,Variant 10,Internet,General,,Resource01,task-1907,complete,EMPTY
case-4502,T02 Check confirmation of receipt,Resource11,2010/12/13 14:59:42.994,Variant 10,Internet,General,,Resource01,task-3960,complete,Group 4
case-4502,T04 Determine confirmation of receipt,Resource11,2010/12/13 15:00:21.666,Variant 10,Internet,General,,Resource01,task-3962,complete,EMPTY
case-4502,T06 Determine necessity of stop advice,Resource11,2010/12/13 15:00:40.629,Variant 10,Internet,General,,Resource01,task-3961,complete,Group 1
case-4502,T05 Print and send confirmation of receipt,Resource11,2010/12/13 15:01:38.027,Variant 10,Internet,General,,Resource01,task-3963,complete,Group 2
case-4502,T10 Determine necessity to stop indication,Resource11,2010/12/13 15:01:56.554,Variant 10,Internet,General,,Resource01,task-3966,complete,Group 1
case-4502,End,End,2010/12/13 15:01:56.554,Variant 10,End,End,End,End,End,End,End
case-4503,Confirmation of receipt,Resource17,2010/12/09 11:41:02.292,Variant 1,Internet,General,,Resource17,task-1908,complete,EMPTY
case-4503,T02 Check confirmation of receipt,Resource04,2010/12/09 13:51:04.296,Variant 1,Internet,General,,Resource17,task-3443,complete,EMPTY
case-4503,T04 Determine confirmation of receipt,Resource10,2010/12/09 14:44:12.572,Variant 1,Internet,General,,Resource17,task-3478,complete,Group 3
case-4503,T05 Print and send confirmation of receipt,admin1,2010/12/10 15:01:54.490,Variant 1,Internet,General,,Resource17,task-3490,complete,Group 2
case-4503,T06 Determine necessity of stop advice,Resource17,2010/12/17 11:42:56.319,Variant 1,Internet,General,,Resource17,task-3444,complete,Group 1
case-4503,T10 Determine necessity to stop indication,Resource17,2010/12/17 11:51:35.454,Variant 1,Internet,General,,Resource17,task-4854,complete,Group 1
case-4503,End,End,2010/12/17 11:51:35.454,Variant 1,End,End,End,End,End,End,End
case-4504,Confirmation of receipt,Resource05,2010/12/06 11:34:37.814,Variant 3,Internet,General,,Resource05,task-1912,complete,EMPTY
case-4504,T02 Check confirmation of receipt,Resource05,2010/12/06 11:46:53.521,Variant 3,Internet,General,,Resource05,task-2848,complete,Group 4
case-4504,T06 Determine necessity of stop advice,Resource05,2010/12/06 11:47:33.803,Variant 3,Internet,General,,Resource05,task-2849,complete,Group 1
case-4504,T10 Determine necessity to stop indication,Resource05,2010/12/06 11:48:47.503,Variant 3,Internet,General,,Resource05,task-2854,complete,Group 1
case-4504,T04 Determine confirmation of receipt,Resource05,2010/12/06 12:23:17.384,Variant 3,Internet,General,,Resource05,task-2853,complete,Group 3
case-4504,T05 Print and send confirmation of receipt,Resource05,2010/12/06 12:24:09.769,Variant 3,Internet,General,,Resource05,task-2920,complete,Group 2
case-4504,End,End,2010/12/06 12:24:09.769,Variant 3,End,End,End,End,End,End,End
case-4505,Confirmation of receipt,Resource17,2010/12/07 14:59:27.164,Variant 2,Internet,General,,Resource17,task-1913,complete,EMPTY
case-4505,T06 Determine necessity of stop advice,Resource17,2010/12/07 15:00:15.088,Variant 2,Internet,General,,Resource17,task-3104,complete,Group 1
case-4505,T10 Determine necessity to stop indication,Resource17,2010/12/07 15:00:30.156,Variant 2,Internet,General,,Resource17,task-3105,complete,Group 1
case-4505,T02 Check confirmation of receipt,Resource04,2010/12/08 10:19:42.102,Variant 2,Internet,General,,Resource17,task-3103,complete,EMPTY
case-4505,T04 Determine confirmation of receipt,Resource10,2010/12/08 12:59:19.048,Variant 2,Internet,General,,Resource17,task-3210,complete,Group 3
case-4505,T05 Print and send confirmation of receipt,admin1,2010/12/10 14:46:55.828,Variant 2,Internet,General,,Resource17,task-3312,complete,Group 2
case-4505,End,End,2010/12/10 14:46:55.828,Variant 2,End,End,End,End,End,End,End
case-4509,Confirmation of receipt,Resource15,2010/12/06 10:16:04.356,Variant 3,Internet,General,,Resource15,task-1917,complete,EMPTY
case-4509,T02 Check confirmation of receipt,Resource15,2010/12/06 10:26:09.124,Variant 3,Internet,General,,Resource15,task-2819,complete,Group 4
case-4509,T06 Determine necessity of stop advice,Resource15,2010/12/06 10:30:05.090,Variant 3,Internet,General,,Resource15,task-2820,complete,Group 1
case-4509,T10 Determine necessity to stop indication,Resource15,2010/12/06 10:31:52.506,Variant 3,Internet,General,,Resource15,task-2824,complete,Group 1
case-4509,T04 Determine confirmation of receipt,Resource10,2010/12/06 12:51:00.046,Variant 3,Internet,General,,Resource15,task-2821,complete,Group 3
case-4509,T05 Print and send confirmation of receipt,admin1,2010/12/06 16:09:15.693,Variant 3,Internet,General,,Resource15,task-2953,complete,Group 2
case-4509,End,End,2010/12/06 16:09:15.693,Variant 3,End,End,End,End,End,End,End
case-4511,Confirmation of receipt,Resource08,2010/12/03 13:12:23.592,Variant 3,Internet,General,,Resource08,task-1924,complete,EMPTY
case-4511,T02 Check confirmation of receipt,Resource08,2010/12/03 13:12:46.827,Variant 3,Internet,General,,Resource08,task-2690,complete,Group 4
case-4511,T06 Determine necessity of stop advice,Resource08,2010/12/03 13:13:11.392,Variant 3,Internet,General,,Resource08,task-2691,complete,Group 1
case-4511,T10 Determine necessity to stop indication,Resource08,2010/12/03 13:13:27.511,Variant 3,Internet,General,,Resource08,task-2693,complete,Group 1
